player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
DeAndre Carter,9859,WR,LAC,18,67,0,27,0,-3.7,0,100.0,,0,0,0.0,0,2,0,91.1,63.8,0,10,0.0,0,66,7,95.5,63,86.9,7,10.4,0,34,60,8.6,4.9,0.54,9.3,0,73.7,20.0,1,5,3.4,1,17,0,89.0,64.1,1,35,0.3,1,312,28,96.2,300,118.0,38,56.7,3,357,153,5.5,12.8,1.19
Zach Ertz,7816,TE,ARZ,10,66,0,1,0,-3.8,3,100.0,,0,0,0.0,0,4,0,90.6,72.8,0,13,3.5,2,57,5,91.2,52,142.1,5,7.6,1,43,62,12.4,8.6,0.83,9.4,0,67.6,33.3,2,6,8.0,2,12,0,90.4,68.3,0,23,0.4,1,237,23,92.0,218,93.6,34,51.5,1,207,54,2.3,9.0,0.95
Christian Watson,66581,WR,GB,14,65,0,12,0,-1.3,3,83.3,,0,0,0.0,0,2,0,91.8,74.2,0,12,0.0,0,43,10,97.7,42,86.1,12,18.5,0,56,74,7.4,5.6,1.33,9.0,3,72.7,75.0,3,4,0.0,0,9,0,63.4,76.1,0,63,0.0,0,89,16,96.6,86,139.6,22,33.8,3,197,133,8.3,12.3,2.29
Noah Fant,42388,TE,SEA,18,65,0,29,0,-4.5,0,75.0,,0,0,0.0,0,0,0,90.2,60.9,0,2,8.3,2,24,3,79.2,19,77.1,4,6.2,0,0,12,4.0,0.0,0.0,8.9,0,71.4,0.0,0,2,0.0,0,10,0,91.0,60.2,0,24,1.1,2,182,15,90.1,164,126.6,21,32.3,3,128,28,1.9,8.5,0.78
Greg Dortch,42237,WR,ARZ,16,64,0,1,0,-2.8,4,100.0,,0,0,0.0,0,2,0,92.5,67.0,0,47,0.0,0,53,15,96.2,51,97.5,15,23.4,0,111,153,10.2,7.4,2.18,4.8,8,84.1,42.9,3,7,0.0,0,13,0,91.6,68.4,0,30,0.0,0,303,37,94.7,287,112.2,44,68.8,2,321,178,4.8,8.7,1.12
Romeo Doubs,84329,WR,GB,13,64,0,12,0,-1.2,0,76.9,,0,0,16.7,2,2,1,28.0,40.0,0,20,0.0,0,57,10,100.0,57,110.4,13,20.3,1,58,75,7.5,5.8,1.02,11.3,0,66.7,50.0,2,4,0.0,0,5,0,47.8,55.4,0,26,0.0,0,74,10,95.9,71,114.3,15,23.4,1,124,32,3.2,12.4,1.75
Isaiah McKenzie,11927,WR,BUF,16,64,0,4,0,-1.8,0,60.0,,0,0,25.0,1,0,0,27.0,45.2,0,8,0.0,0,25,3,96.0,24,66.3,5,7.8,0,17,22,7.3,5.7,0.71,8.6,4,71.4,57.1,4,7,9.1,4,26,0,52.5,66.2,1,30,0.0,0,335,40,93.4,313,108.0,56,87.5,4,403,122,3.1,10.1,1.29
Nico Collins,61441,WR,HST,10,64,0,13,0,-2.0,1,100.0,100.0,1,1,0.0,0,1,0,88.7,52.0,0,13,0.0,0,35,3,97.1,34,88.9,3,4.7,0,16,22,7.3,5.3,0.47,6.7,0,83.3,100.0,1,1,0.0,0,1,0,90.3,64.6,0,12,0.0,0,30,5,93.3,28,93.8,6,9.4,0,39,18,3.6,7.8,1.39
Robert Tonyan,12193,TE,GB,17,63,0,12,0,-1.6,1,100.0,,0,0,0.0,0,2,0,91.1,49.0,0,10,1.7,1,60,7,96.7,58,85.1,7,11.1,0,31,42,6.0,4.4,0.53,9.3,1,70.4,25.0,1,4,5.0,1,10,0,90.0,60.3,2,21,0.7,1,151,19,95.4,144,74.8,27,42.9,1,211,104,5.5,11.1,1.47
D'Andre Swift,57212,HB,DET,14,63,0,11,0,-4.8,8,100.0,,0,0,0.0,0,5,0,93.1,98.6,0,25,5.4,2,37,19,91.9,34,118.9,19,30.2,1,158,250,13.2,8.3,4.65,1.3,2,100.0,,0,0,0.0,0,1,1,65.0,68.2,0,18,0.0,0,16,4,93.8,15,105.2,4,6.3,0,37,32,8.0,9.3,2.47
