player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Mark Ingram II,6180,HB,NO,10,16,0,20,-3.0,0,100.0,,0,0,0.0,0,0,0,68.3,59.0,0,2,51.6,16,31,2,41.9,13,79.2,2,12.5,0,2,8,4.0,1.0,0.15,0,-0.5,2,100.0,,0,0,0.0,0,1,1,78.7,48.9,0,11,23.0,17,74,10,74.3,55,84.6,10,62.5,0,43,48,4.8,4.3,0.78
James Proche II,48037,WR,BLT,15,16,0,3,8.3,0,0.0,,0,0,,0,0,0,64.7,55.9,0,0,0.0,0,49,0,93.9,46,39.6,3,18.8,0,0,0,,,0.0,0,9.8,1,55.6,,0,0,16.7,1,3,0,46.3,54.7,0,12,0.0,0,79,5,89.9,71,68.3,9,56.3,0,43,15,3.0,8.6,0.61
Cole Beasley,7330,WR,BUF,6,16,0,4,3.7,0,83.3,,0,0,0.0,0,4,0,73.4,79.7,0,29,0.0,0,26,5,80.8,21,144.4,6,37.5,1,55,36,7.2,11.0,2.62,0,8.9,1,62.5,0.0,0,1,0.0,0,2,0,73.4,66.7,2,11,0.0,0,38,5,100.0,38,38.0,8,50.0,0,45,26,5.2,9.0,1.18
Jack Stoll,42058,TE,PHI,20,16,0,24,6.3,0,33.3,,0,0,0.0,0,1,0,64.7,44.4,0,14,18.7,17,91,1,75.8,69,49.3,3,18.8,0,14,11,11.0,14.0,0.2,0,8.7,0,91.7,100.0,3,3,0.0,0,4,0,78.7,50.7,0,26,11.9,20,168,11,84.5,142,106.3,12,75.0,0,114,39,3.5,10.4,0.8
Byron Pringle,42345,WR,CHI,11,15,0,6,9.0,0,100.0,100.0,2,2,0.0,0,1,0,68.3,65.5,0,8,0.0,0,31,2,93.5,29,131.3,2,13.3,1,12,1,0.5,6.0,0.41,0,13.8,0,66.7,100.0,1,1,0.0,0,5,0,74.6,60.0,0,20,3.7,4,107,6,94.4,101,88.2,9,60.0,0,66,12,2.0,11.0,0.65
Josiah Deguara,47034,TE,GB,17,15,0,12,-1.0,0,50.0,,0,0,0.0,0,0,0,64.7,50.0,0,5,25.0,7,28,1,60.7,17,56.3,2,13.3,0,5,0,0.0,5.0,0.29,0,4.3,0,91.7,,0,0,0.0,0,4,0,79.4,71.2,0,25,13.6,11,81,11,84.0,68,103.8,12,80.0,0,107,60,5.5,9.7,1.57
KJ Hamler,61590,WR,DEN,7,15,0,10,4.0,0,100.0,,0,0,0.0,0,0,0,64.7,51.4,0,4,0.0,0,32,1,93.8,30,83.3,1,6.7,0,4,0,0.0,4.0,0.13,0,22.8,0,45.5,,0,0,0.0,0,2,0,73.4,57.5,1,55,0.0,0,92,5,95.7,88,45.3,11,73.3,0,114,21,4.2,22.8,1.3
T.Y. Hilton,7092,WR,DAL,5,15,0,9,14.7,0,33.3,0.0,0,2,50.0,1,1,0,28.9,51.8,0,12,0.0,0,23,1,95.7,22,46.5,3,20.0,0,12,6,6.0,12.0,0.55,0,17.9,1,81.8,66.7,2,3,10.0,1,6,0,57.0,82.1,0,52,0.0,0,50,9,94.0,47,118.8,11,73.3,0,147,41,4.6,16.3,3.13
Peyton Hendershot,60915,TE,DAL,18,15,0,9,1.5,0,100.0,,0,0,0.0,0,1,0,68.3,56.2,0,10,9.4,3,32,2,87.5,28,95.8,2,13.3,0,14,11,5.5,7.0,0.5,0,10.2,1,60.0,50.0,3,6,14.3,1,5,0,37.5,65.6,1,29,12.7,10,79,6,84.8,67,79.2,10,66.7,1,80,27,4.5,13.3,1.19
Patrick Ricard,48862,FB,BLT,18,15,0,3,2.0,0,50.0,,0,0,0.0,0,0,0,64.7,51.2,1,12,46.3,37,80,1,53.8,43,29.2,2,13.3,0,12,11,11.0,12.0,0.28,0,0.1,2,81.8,100.0,1,1,0.0,0,1,0,56.7,47.2,0,19,36.0,67,186,9,62.4,116,88.6,11,73.3,0,58,58,6.4,6.4,0.5
Tanner Hudson,66924,TE,NYG,11,15,0,21,2.5,0,50.0,0.0,0,1,0.0,0,1,0,64.7,53.2,0,7,4.4,2,45,1,86.7,39,58.3,2,13.3,0,7,5,5.0,7.0,0.18,0,8.4,0,66.7,0.0,0,2,0.0,0,4,0,74.6,58.1,0,27,7.0,8,115,6,87.0,100,94.2,9,60.0,0,79,34,5.7,13.2,0.79
Connor Heyward,57301,TE,PIT,14,15,0,25,10.0,0,33.3,100.0,1,1,50.0,1,1,0,28.9,54.7,0,27,10.3,3,29,1,75.9,22,67.4,3,20.0,0,27,4,4.0,27.0,1.23,0,6.7,1,90.0,100.0,1,1,0.0,0,4,0,77.3,90.1,1,45,2.3,1,44,9,97.7,43,106.7,10,66.7,1,111,59,6.6,12.3,2.58
Zonovan Knight,97432,HB,NYJ,7,14,0,22,,0,,,0,0,,0,0,0,,52.9,0,0,44.0,11,25,0,52.0,13,0.0,0,0.0,0,0,0,,,0.0,0,-2.3,5,91.7,,0,0,8.3,1,4,1,60.6,54.5,0,16,12.5,7,56,11,83.9,47,96.2,12,85.7,0,85,114,10.4,7.7,1.81
