player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Dezmon Patmon,48329,WR,IND,1,6,0,14,18.5,0,0.0,,0,0,100.0,1,0,0,27.9,40.7,0,0,0.0,0,4,0,100.0,4,39.6,2,33.3,0,0,0,,,0.0,0,11.3,0,66.7,,0,0,0.0,0,1,0,68.3,69.2,1,17,0.0,0,7,2,100.0,7,51.4,3,50.0,0,24,7,3.5,12.0,3.43
Tyler Kroft,9518,TE,SF,13,6,0,28,,0,,,0,0,,0,0,0,,50.4,0,0,11.1,1,9,0,77.8,7,0.0,0,0.0,0,0,0,,,0.0,0,11.8,0,60.0,,0,0,0.0,0,2,0,70.5,55.7,0,28,18.3,11,60,3,78.3,47,94.6,5,83.3,0,51,13,4.3,17.0,1.09
Tylan Wallace,61577,WR,BLT,8,6,0,3,4.7,0,100.0,100.0,1,1,0.0,0,0,0,70.5,55.7,0,9,0.0,0,18,3,88.9,16,95.8,3,50.0,0,21,7,2.3,7.0,1.31,0,25.3,1,33.3,,0,0,0.0,0,1,0,64.7,58.1,0,12,0.0,0,23,1,100.0,23,46.5,3,50.0,0,12,5,5.0,12.0,0.52
Charlie Kolar,60917,TE,BLT,1,6,0,3,12.0,0,100.0,100.0,1,1,0.0,0,1,0,64.7,66.4,0,14,0.0,0,9,1,88.9,8,118.8,1,16.7,0,14,2,2.0,14.0,1.75,0,6.3,0,75.0,0.0,0,1,0.0,0,2,0,70.5,72.5,0,15,0.0,0,15,3,100.0,15,101.0,4,66.7,0,35,21,7.0,11.7,2.33
Danny Gray,121926,WR,SF,14,6,0,28,11.5,0,50.0,,0,0,0.0,0,1,0,64.7,65.8,0,10,0.0,0,8,1,87.5,7,64.6,2,33.3,0,10,4,4.0,10.0,1.43,0,43.0,0,0.0,,0,0,,0,0,0,,46.9,0,0,0.0,0,18,0,100.0,18,39.6,1,16.7,0,0,0,,,0.0
Malik Davis,57196,HB,DAL,6,6,0,9,-4.0,0,100.0,,0,0,0.0,0,2,0,68.3,77.0,0,8,25.0,2,8,2,75.0,6,93.8,2,33.3,0,13,21,10.5,6.5,2.17,0,2.5,1,100.0,,0,0,0.0,0,2,0,68.3,70.2,0,18,13.0,3,23,2,82.6,19,118.8,2,33.3,0,28,23,11.5,14.0,1.47
Tyrie Cleveland,42134,WR,DEN,4,6,0,10,12.6,2,20.0,,0,0,0.0,0,1,0,28.8,48.4,1,16,0.0,0,13,1,76.9,10,0.8,5,83.3,0,16,11,11.0,16.0,1.6,0,6.0,0,100.0,,0,0,0.0,0,0,0,64.7,58.2,0,12,0.0,0,28,1,85.7,24,116.7,1,16.7,0,12,6,6.0,12.0,0.5
Gunner Olszewski,95015,WR,PIT,12,6,0,25,14.0,0,0.0,0.0,0,1,,0,0,0,,45.7,0,0,0.0,0,23,0,100.0,23,39.6,1,16.7,0,0,0,,,0.0,0,7.5,1,100.0,,0,0,0.0,0,1,0,72.1,57.4,0,31,0.0,0,54,4,94.4,51,113.5,4,66.7,0,45,15,3.8,11.3,0.88
Malcolm Brown,9902,HB,LA,9,6,0,26,0.0,0,100.0,100.0,1,1,0.0,0,0,0,64.7,49.9,0,2,30.3,10,33,1,66.7,22,79.2,1,16.7,0,2,2,2.0,2.0,0.09,0,-0.8,0,75.0,,0,0,0.0,0,2,0,70.5,82.0,0,13,29.6,8,27,3,70.4,19,97.9,4,66.7,0,32,35,11.7,10.7,1.68
Elijah Mitchell,57272,HB,SF,7,6,0,28,-2.0,0,0.0,,0,0,,0,0,0,,55.3,0,0,0.0,0,4,0,100.0,4,39.6,1,16.7,0,0,0,,,0.0,0,-3.0,1,100.0,,0,0,0.0,0,0,0,68.3,82.8,0,5,4.0,1,25,2,96.0,24,83.3,2,33.3,0,8,14,7.0,4.0,0.33
Dennis Houston,61295,WR,DAL,2,6,0,9,14.5,0,0.0,,0,0,,0,0,0,,53.0,0,0,0.0,0,14,0,78.6,11,39.6,2,33.3,0,0,0,,,0.0,0,17.3,0,33.3,100.0,1,1,0.0,0,0,0,64.7,52.7,0,5,0.0,0,32,1,96.9,31,42.4,3,50.0,0,5,0,0.0,5.0,0.16
Myles Gaskin,45914,HB,MIA,2,6,0,17,,0,,,0,0,,0,0,0,,57.0,0,0,20.0,1,5,0,60.0,3,0.0,0,0.0,0,0,0,,,0.0,0,3.8,3,60.0,0.0,0,1,0.0,0,0,0,70.5,63.6,0,16,0.0,0,16,3,93.8,15,70.4,5,83.3,0,22,11,3.7,7.3,1.47
Armani Rogers,40034,TE,WAS,11,6,0,32,2.0,0,100.0,,0,0,0.0,0,0,0,64.7,52.3,0,2,6.7,1,15,1,93.3,14,79.2,1,16.7,0,2,0,0.0,2.0,0.14,0,2.0,1,80.0,,0,0,0.0,0,4,0,72.1,70.0,0,23,4.3,2,46,4,95.7,44,118.3,5,83.3,0,62,56,14.0,15.5,1.41
Freddie Swain,26448,WR,DEN,4,6,0,10,21.0,0,100.0,,0,0,0.0,0,1,0,68.3,82.2,0,52,0.0,0,5,2,100.0,5,118.8,2,33.3,0,54,12,6.0,27.0,10.8,0,5.3,0,50.0,,0,0,0.0,0,2,0,68.3,58.2,1,11,0.0,0,49,2,98.0,48,25.0,4,66.7,0,20,17,8.5,10.0,0.42
Rashaad Penny,27414,HB,SEA,5,5,0,29,1.0,0,100.0,,0,0,0.0,0,1,0,64.7,58.9,0,6,23.8,5,21,1,71.4,15,91.7,1,20.0,0,6,5,5.0,6.0,0.4,0,-2.3,0,66.7,,0,0,0.0,0,1,0,70.5,57.8,0,3,18.5,10,54,2,77.8,42,70.1,3,60.0,0,6,13,6.5,3.0,0.14
Derek Watt,10832,FB,PIT,9,5,0,25,,0,,,0,0,,0,0,0,,54.3,0,0,33.3,2,6,0,66.7,4,0.0,0,0.0,0,0,0,,,0.0,0,2.0,0,100.0,,0,0,0.0,0,0,0,70.5,57.4,0,5,0.0,0,9,3,100.0,9,79.2,3,60.0,0,9,3,1.0,3.0,1.0
Cody Hollister,12052,WR,TEN,10,5,0,31,15.0,0,0.0,,0,0,,0,0,0,,53.7,1,0,6.7,1,15,0,73.3,11,0.0,1,20.0,0,0,0,,,0.0,0,18.5,0,50.0,,0,0,0.0,0,1,0,64.7,61.5,0,27,0.0,0,29,1,93.1,27,95.8,2,40.0,0,27,8,8.0,27.0,1.0
Ross Dwelley,20994,TE,SF,8,5,0,28,,0,,,0,0,,0,0,0,,51.8,0,0,0.0,0,12,0,91.7,11,0.0,0,0.0,0,0,0,,,0.0,0,13.6,0,60.0,50.0,1,2,0.0,0,3,0,70.5,71.9,0,56,8.6,3,35,3,85.7,30,143.8,5,100.0,1,105,45,15.0,35.0,3.5
Andy Isabella,47448,WR,BLT,5,5,0,3,,0,,,0,0,,0,0,0,,54.1,0,0,0.0,0,8,0,87.5,7,0.0,0,0.0,0,0,0,,,0.0,0,15.0,0,25.0,0.0,0,1,0.0,0,1,0,64.7,51.1,0,10,0.0,0,37,1,100.0,37,39.6,4,80.0,0,10,4,4.0,10.0,0.27
Ronnie Rivers,57208,HB,LA,2,5,0,26,-4.0,0,100.0,,0,0,0.0,0,0,0,64.7,63.9,0,4,0.0,0,2,1,100.0,2,83.3,1,20.0,0,4,8,8.0,4.0,2.0,0,-5.3,2,100.0,,0,0,0.0,0,1,0,72.1,83.0,0,14,0.0,0,10,4,100.0,10,92.7,4,80.0,0,25,46,11.5,6.3,2.5
Salvon Ahmed,57472,HB,MIA,7,5,0,17,3.0,0,0.0,0.0,0,1,,0,0,0,,54.2,0,0,30.8,4,13,0,53.8,7,39.6,1,20.0,0,0,0,,,0.0,0,3.0,1,100.0,,0,0,0.0,0,2,0,72.1,88.2,0,20,24.1,7,29,4,72.4,21,118.8,4,80.0,0,53,41,10.3,13.3,2.52
Stone Smartt,60492,TE,LAC,7,5,0,27,5.0,0,66.7,,0,0,0.0,0,0,0,68.3,53.1,0,5,5.3,1,19,2,94.7,18,70.1,3,60.0,0,3,1,0.5,1.5,0.17,0,5.0,0,100.0,,0,0,0.0,0,0,0,64.7,51.3,0,8,4.8,1,21,1,95.2,20,100.0,1,20.0,0,8,3,3.0,8.0,0.4
Kevin White,9440,WR,NO,7,5,0,20,21.5,1,25.0,0.0,0,2,50.0,1,1,0,28.8,57.6,1,64,0.0,0,20,1,95.0,19,39.6,4,80.0,0,64,62,62.0,64.0,3.37,0,,0,,,0,0,,0,0,0,,49.4,0,0,0.0,0,42,0,95.2,40,0.0,0,0.0,0,0,0,,,0.0
Kyle Rudolph,6195,TE,TB,9,5,0,30,12.0,0,50.0,,0,0,33.3,1,2,0,29.9,66.5,0,12,9.1,1,11,2,90.9,10,104.2,4,80.0,1,20,0,0.0,10.0,2.0,0,,0,,,0,0,,0,0,0,,45.0,0,0,0.0,0,20,0,100.0,20,0.0,0,0.0,0,0,0,,,0.0
Tyler Davis,47743,TE,GB,17,5,0,12,-1.0,0,100.0,100.0,1,1,0.0,0,0,0,68.3,54.7,0,3,45.0,9,20,2,55.0,11,79.2,2,40.0,0,0,2,1.0,0.0,0.0,0,7.5,0,50.0,,0,0,0.0,0,1,0,64.7,51.5,1,23,20.5,8,39,1,76.9,30,52.1,2,40.0,0,23,23,23.0,23.0,0.77
Demetric Felton Jr.,40568,WR,CLV,5,5,0,8,,0,,,0,0,,0,0,0,,56.5,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,0,5.0,0,25.0,,0,0,0.0,0,0,0,64.7,51.7,0,3,0.0,0,19,1,100.0,19,39.6,4,80.0,0,3,5,5.0,3.0,0.16
Stephen Sullivan,40411,TE,CAR,12,5,0,5,12.0,0,100.0,,0,0,0.0,0,1,0,64.7,72.3,0,33,5.6,1,18,1,77.8,14,118.8,1,20.0,0,33,21,21.0,33.0,2.36,0,18.8,0,25.0,0.0,0,2,0.0,0,1,0,64.7,50.3,1,13,0.0,0,52,1,98.1,51,1.0,4,80.0,0,13,0,0.0,13.0,0.25
Keaontay Ingram,77761,HB,ARZ,10,5,0,1,,0,,,0,0,,0,0,0,,54.5,0,0,20.0,1,5,0,80.0,4,0.0,0,0.0,0,0,0,,,0.0,0,-2.6,4,80.0,,0,0,20.0,1,1,0,42.1,50.7,0,24,8.3,4,48,4,85.4,41,84.2,5,100.0,0,21,34,8.5,5.3,0.51
Bryan Edwards,28486,WR,ATL,7,5,0,2,,0,,,0,0,,0,0,0,,52.2,0,0,0.0,0,10,0,100.0,10,0.0,0,0.0,0,0,0,,,0.0,0,10.0,0,66.7,0.0,0,1,0.0,0,0,0,68.3,52.6,1,10,0.0,0,36,2,97.2,35,34.7,3,60.0,0,12,6,3.0,6.0,0.34
Luke Farrell,42353,TE,JAX,12,4,0,15,,0,,,0,0,,0,0,0,,,0,0,100.0,2,2,0,0.0,0,0.0,0,0.0,0,0,0,,,,0,0.5,1,100.0,,0,0,0.0,0,3,0,72.1,90.2,0,15,40.0,8,20,4,60.0,12,108.3,4,100.0,0,40,38,9.5,10.0,3.33
David Johnson,9519,HB,NO,5,4,0,20,,0,,,0,0,,0,0,0,,55.7,0,0,33.3,2,6,0,66.7,4,0.0,0,0.0,0,0,0,,,0.0,0,0.5,0,100.0,,0,0,0.0,0,3,0,72.1,73.9,0,21,12.0,3,25,4,88.0,22,115.6,4,100.0,0,47,45,11.3,11.8,2.14
Marcus Jones,55717,CB,NE,5,4,0,19,,0,,,0,0,,0,0,0,,54.7,0,0,0.0,0,3,0,33.3,1,0.0,0,0.0,0,0,0,,,0.0,0,-4.3,3,100.0,,0,0,0.0,0,3,0,73.4,91.8,0,48,0.0,0,9,4,88.9,8,158.3,4,100.0,1,78,95,23.8,19.5,9.75
Ty Montgomery,9527,HB,NE,1,4,0,19,1.0,0,100.0,,0,0,0.0,0,0,0,64.7,65.4,0,2,80.0,4,5,1,20.0,1,79.2,1,25.0,0,2,1,1.0,2.0,2.0,0,3.5,0,50.0,,0,0,0.0,0,0,0,64.7,58.3,0,7,18.2,2,11,1,81.8,9,58.3,2,50.0,0,7,4,4.0,7.0,0.78
Lance McCutcheon,61478,WR,LA,8,4,0,26,12.5,0,0.0,0.0,0,1,,0,0,0,,53.8,0,0,0.0,0,9,0,100.0,9,39.6,2,50.0,0,0,0,,,0.0,0,16.0,0,0.0,0.0,0,1,,0,0,0,,47.5,0,0,0.0,0,20,0,95.0,19,39.6,2,50.0,0,0,0,,,0.0
Ke'Shawn Vaughn,45866,HB,TB,7,4,0,30,,0,,,0,0,,0,0,0,,60.0,0,0,50.0,1,2,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,0,-3.7,0,66.7,,0,0,0.0,0,0,0,70.5,63.0,0,8,33.3,5,15,2,60.0,9,70.1,3,75.0,0,8,17,8.5,4.0,0.89
Blake Bell,9550,TE,KC,4,4,0,16,,0,,,0,0,,0,0,0,,53.5,0,0,33.3,1,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,0,6.0,0,75.0,100.0,1,1,0.0,0,1,0,70.5,70.4,0,17,0.0,0,9,3,100.0,9,129.2,4,100.0,1,24,9,3.0,8.0,2.67
Devin Asiasi,40294,TE,CIN,9,4,0,7,30.0,0,0.0,,0,0,,0,0,0,,45.5,0,0,16.7,2,12,0,83.3,10,39.6,1,25.0,0,0,0,,,0.0,0,9.5,0,50.0,,0,0,0.0,0,0,0,64.7,44.1,0,-1,27.5,11,40,1,62.5,25,56.3,2,50.0,0,-1,0,0.0,-1.0,-0.04
Tim Jones,61669,WR,JAX,15,4,0,15,-3.0,0,0.0,,0,0,100.0,1,0,0,28.0,44.5,0,0,0.0,0,13,0,100.0,13,39.6,1,25.0,0,0,0,,,0.0,0,2.7,2,100.0,,0,0,0.0,0,1,0,70.5,54.8,0,20,0.0,0,48,3,95.8,46,108.3,3,75.0,0,30,22,7.3,10.0,0.65
Spencer Brown,57441,HB,CAR,2,4,0,5,-3.0,1,100.0,,0,0,0.0,0,0,0,64.7,59.6,0,1,14.3,1,7,1,85.7,6,79.2,1,25.0,0,1,4,4.0,1.0,0.17,0,1.0,0,33.3,,0,0,50.0,1,0,0,28.8,38.4,0,9,20.0,3,15,1,80.0,12,42.4,3,75.0,0,9,8,8.0,9.0,0.75
Keith Kirkwood,48017,WR,NO,5,4,0,20,18.0,0,33.3,50.0,1,2,50.0,1,1,0,28.8,49.8,0,14,0.0,0,29,1,96.6,28,49.3,3,75.0,0,14,0,0.0,14.0,0.5,0,1.0,0,100.0,,0,0,0.0,0,0,0,64.7,50.1,0,4,0.0,0,37,1,97.3,36,83.3,1,25.0,0,4,3,3.0,4.0,0.11
Jesper Horsted,91465,TE,LV,7,4,0,23,,0,,,0,0,,0,0,0,,53.2,0,0,28.6,2,7,0,28.6,2,0.0,0,0.0,0,0,0,,,0.0,0,7.3,0,66.7,50.0,1,2,0.0,0,0,0,68.3,63.5,0,9,16.7,3,18,2,83.3,15,75.7,3,75.0,0,13,4,2.0,6.5,0.87
Juwann Winfree,38275,WR,GB,3,4,0,12,1.0,0,0.0,,0,0,100.0,1,0,0,27.9,39.4,0,0,0.0,0,3,0,100.0,3,39.6,1,25.0,0,0,0,,,0.0,0,22.0,0,50.0,,0,0,0.0,0,1,0,68.3,61.5,0,17,0.0,0,18,1,94.4,17,79.2,2,50.0,0,17,5,5.0,17.0,1.0
Austin Trammell,52195,WR,LA,5,4,0,26,6.7,0,66.7,0.0,0,1,0.0,0,1,0,68.3,71.5,0,8,6.3,1,16,2,87.5,14,75.7,3,75.0,0,13,0,0.0,6.5,0.93,0,,0,,,0,0,,0,0,0,,53.2,0,0,12.5,1,8,0,75.0,6,0.0,0,0.0,0,0,0,,,0.0
Jalen Guyton,34164,WR,LAC,3,4,0,27,50.0,0,100.0,100.0,1,1,0.0,0,1,0,64.7,88.2,0,54,0.0,0,3,1,100.0,3,118.8,1,25.0,0,54,4,4.0,54.0,18.0,0,21.0,0,33.3,0.0,0,1,0.0,0,1,0,64.7,55.8,0,10,0.0,0,12,1,100.0,12,43.8,3,75.0,0,10,4,4.0,10.0,0.83
Penny Hart,13534,WR,SEA,7,4,0,29,,0,,,0,0,,0,0,0,,55.7,0,0,0.0,0,5,0,80.0,4,0.0,0,0.0,0,0,0,,,0.0,0,7.0,1,100.0,,0,0,0.0,0,1,0,64.7,65.4,0,15,0.0,0,10,1,90.0,9,118.8,1,25.0,0,15,8,8.0,15.0,1.67
Simi Fehoko,84424,WR,DAL,4,4,0,9,,0,,,0,0,,0,0,0,,55.9,0,0,0.0,0,6,0,100.0,6,0.0,0,0.0,0,0,0,,,0.0,0,15.7,0,66.7,50.0,1,2,0.0,0,1,0,68.3,63.9,0,12,0.0,0,13,2,92.3,12,81.3,3,75.0,0,17,7,3.5,8.5,1.42
Chris Evans,27303,HB,CIN,8,4,0,7,14.0,0,75.0,100.0,2,2,0.0,0,2,0,70.5,84.1,0,26,12.5,1,8,3,75.0,6,143.8,4,100.0,1,38,7,2.3,12.7,6.33,0,,0,,,0,0,,0,0,0,,53.9,0,0,14.3,1,7,0,85.7,6,0.0,0,0.0,0,0,0,,,0.0
Jalen Virgil,41991,WR,DEN,8,4,0,10,35.0,0,0.0,,0,0,,0,0,0,,53.5,0,0,0.0,0,12,0,100.0,12,39.6,1,25.0,0,0,0,,,0.0,0,12.7,0,66.7,,0,0,0.0,0,2,0,68.3,62.4,0,66,0.0,0,29,2,93.1,27,149.3,3,75.0,1,75,43,21.5,37.5,2.78
Ihmir Smith-Marsette,61324,WR,KC,5,3,0,16,13.0,0,0.0,,0,0,100.0,1,0,0,27.9,43.5,0,0,0.0,0,11,0,81.8,9,39.6,1,33.3,0,0,0,,,0.0,0,6.5,1,50.0,,0,0,0.0,0,0,1,64.7,46.7,0,15,5.0,1,20,1,95.0,19,75.0,2,66.7,0,15,5,5.0,15.0,0.79
Trevon Wesco,42018,TE,CHI,11,3,0,6,2.0,0,0.0,,0,0,100.0,1,0,0,28.8,53.8,0,0,33.3,4,12,0,58.3,7,39.6,1,33.3,0,0,0,,,0.0,0,6.0,1,100.0,,0,0,0.0,0,1,0,68.3,55.7,0,23,31.6,12,38,2,68.4,26,118.8,2,66.7,0,26,14,7.0,13.0,1.0
Tevin Coleman,9506,HB,SF,4,3,0,28,29.0,0,100.0,100.0,1,1,0.0,0,1,0,64.7,91.4,0,30,0.0,0,3,1,66.7,2,118.8,1,33.3,0,30,1,1.0,30.0,15.0,0,-1.0,0,100.0,,0,0,0.0,0,0,0,64.7,56.2,0,5,9.1,1,11,1,90.9,10,87.5,1,33.3,0,5,6,6.0,5.0,0.5
Dareke Young,111900,WR,SEA,11,3,0,29,,0,,,0,0,,0,0,0,,55.1,0,0,0.0,0,5,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,0,3.3,1,100.0,,0,0,0.0,0,3,0,72.1,63.6,0,12,6.1,2,33,3,81.8,27,115.3,3,100.0,0,35,25,8.3,11.7,1.3
D'Ernest Johnson,45734,HB,CLV,4,3,0,8,0.0,0,100.0,,0,0,0.0,0,0,0,64.7,57.4,0,2,15.4,2,13,1,76.9,10,79.2,1,33.3,0,2,2,2.0,2.0,0.2,0,-0.5,0,100.0,,0,0,0.0,0,0,0,68.3,60.0,0,7,18.2,2,11,2,81.8,9,79.2,2,66.7,0,5,6,3.0,2.5,0.56
Quintez Cephus,29614,WR,DET,4,3,0,11,5.0,0,0.0,,0,0,,0,0,0,,52.9,0,0,0.0,0,11,0,100.0,11,39.6,1,33.3,0,0,0,,,0.0,0,5.0,0,100.0,,0,0,0.0,0,0,0,64.7,65.6,0,9,0.0,0,9,1,77.8,7,104.2,1,33.3,0,9,4,4.0,9.0,1.29
Nsimba Webster,48107,WR,CHI,1,3,0,6,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,7.0,0,66.7,0.0,0,1,0.0,0,1,1,68.3,47.9,0,8,0.0,0,6,2,100.0,6,77.1,3,100.0,0,14,5,2.5,7.0,2.33
Adam Prentice,35639,FB,NO,10,3,0,20,-7.0,0,100.0,,0,0,0.0,0,1,0,64.7,67.1,0,3,50.0,7,14,1,50.0,7,79.2,1,33.3,0,3,10,10.0,3.0,0.43,0,2.0,0,100.0,,0,0,0.0,0,0,1,64.7,27.2,0,2,35.3,6,17,1,58.8,10,79.2,1,33.3,0,2,0,0.0,2.0,0.2
Braylon Sanders,61457,WR,MIA,3,3,0,17,27.0,0,0.0,,0,0,,0,0,0,,55.3,0,0,0.0,0,7,0,100.0,7,39.6,1,33.3,0,0,0,,,0.0,0,6.5,0,100.0,,0,0,0.0,0,0,1,68.3,48.2,0,13,0.0,0,8,2,100.0,8,102.1,2,66.7,0,17,4,2.0,8.5,2.13
Isaiah Spiller,99146,HB,LAC,5,3,0,27,,0,,,0,0,,0,0,0,,56.5,0,0,40.0,2,5,0,60.0,3,0.0,0,0.0,0,0,0,,,0.0,0,-3.3,1,100.0,,0,0,0.0,0,0,0,70.5,67.6,0,8,22.7,5,22,3,77.3,17,84.7,3,100.0,0,13,23,7.7,4.3,0.76
Maxx Williams,9488,TE,ARZ,11,3,0,1,,0,,,0,0,,0,0,0,,45.8,0,0,28.6,4,14,0,57.1,8,0.0,0,0.0,0,0,0,,,0.0,0,3.0,0,100.0,100.0,1,1,0.0,0,0,0,64.7,54.6,0,5,38.6,17,44,1,61.4,27,87.5,1,33.3,0,5,2,2.0,5.0,0.19
Michael Burton,9601,FB,KC,12,3,0,16,-5.0,0,0.0,,0,0,,0,0,0,,59.9,0,0,83.3,5,6,0,16.7,1,39.6,1,33.3,0,0,0,,,0.0,0,1.5,0,100.0,,0,0,0.0,0,0,0,68.3,76.6,0,9,42.9,3,7,2,42.9,3,89.6,2,66.7,0,11,8,4.0,5.5,3.67
Jonathan Ward,25859,HB,TEN,2,3,0,31,1.0,0,0.0,,0,0,,0,0,0,,58.3,0,0,0.0,0,2,0,100.0,2,39.6,1,33.3,0,0,0,,,0.0,0,0.0,1,100.0,,0,0,0.0,0,1,0,64.7,70.6,0,3,0.0,0,2,1,100.0,2,79.2,1,33.3,0,3,3,3.0,3.0,1.5
John Brown,8726,WR,BUF,4,3,0,4,,0,,,0,0,,0,0,0,,53.8,0,0,0.0,0,11,0,100.0,11,0.0,0,0.0,0,0,0,,,0.0,0,44.0,0,33.3,0.0,0,1,0.0,0,1,0,64.7,72.2,1,42,0.0,0,12,1,91.7,11,81.9,3,100.0,1,42,0,0.0,42.0,3.82
Ben Ellefson,27766,TE,MIN,4,3,0,18,,0,,,0,0,,0,0,0,,55.7,0,0,60.0,3,5,0,20.0,1,0.0,0,0.0,0,0,0,,,0.0,0,12.0,0,100.0,,0,0,0.0,0,1,0,64.7,87.7,0,12,70.0,7,10,1,30.0,3,116.7,1,33.3,0,12,0,0.0,12.0,4.0
Jalen Tolbert,61637,WR,DAL,7,3,0,9,19.5,0,50.0,100.0,1,1,0.0,0,0,0,64.7,52.6,0,4,0.0,0,19,1,89.5,17,56.3,2,66.7,0,4,0,0.0,4.0,0.24,0,8.0,0,100.0,,0,0,0.0,0,0,0,64.7,53.9,0,8,6.3,1,16,1,87.5,14,100.0,1,33.3,0,8,0,0.0,8.0,0.57
Miles Boykin,48209,WR,PIT,11,3,0,25,33.0,0,0.0,,0,0,,0,0,0,,54.7,0,0,10.0,1,10,0,90.0,9,39.6,1,33.3,0,0,0,,,0.0,0,5.5,0,100.0,100.0,1,1,0.0,0,1,0,68.3,60.0,0,11,0.0,0,19,2,94.7,18,89.6,2,66.7,0,11,0,0.0,5.5,0.61
Jason Cabinda,50714,FB,DET,8,3,0,11,,0,,,0,0,,0,0,0,,53.7,0,0,35.7,5,14,0,50.0,7,0.0,0,0.0,0,0,0,,,0.0,0,5.7,0,33.3,,0,0,50.0,1,1,0,28.9,39.1,0,5,39.1,9,23,1,60.9,14,42.4,3,100.0,0,5,2,2.0,5.0,0.36
Julius Chestnut,109239,HB,TEN,3,3,0,31,,0,,,0,0,,0,0,0,,59.7,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,0.3,1,100.0,,0,0,0.0,0,1,0,70.5,72.7,0,33,5.9,1,17,3,94.1,16,118.8,3,100.0,0,41,40,13.3,13.7,2.56
Lil'Jordan Humphrey,42247,WR,NE,5,3,0,19,,0,,,0,0,,0,0,0,,50.0,0,0,0.0,0,18,0,88.9,16,0.0,0,0.0,0,0,0,,,0.0,0,5.7,0,66.7,,0,0,0.0,0,0,0,68.3,58.7,0,11,0.0,0,24,2,100.0,24,85.4,3,100.0,0,20,15,7.5,10.0,0.83
Kendall Blanton,47311,TE,LA,4,2,0,26,,0,,,0,0,,0,0,0,,57.7,0,0,33.3,1,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,0,6.0,0,100.0,,0,0,0.0,0,0,0,64.7,54.6,0,7,25.0,2,8,1,75.0,6,95.8,1,50.0,0,7,1,1.0,7.0,1.17
Caleb Huntley,57156,HB,ATL,11,2,0,2,,0,,,0,0,,0,0,0,,54.5,0,0,16.7,1,6,0,83.3,5,0.0,0,0.0,0,0,0,,,0.0,0,-2.5,0,100.0,,0,0,0.0,0,0,0,68.3,56.0,0,2,16.0,4,25,2,80.0,20,79.2,2,100.0,0,3,8,4.0,1.5,0.15
KaVontae Turpin,47658,WR,DAL,13,2,0,9,,0,,,0,0,,0,0,0,,56.7,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,,52.5,0,0,0.0,0,17,0,94.1,16,0.0,0,0.0,0,0,0,,,0.0
Anthony McFarland Jr.,57289,HB,PIT,1,2,0,25,-1.0,0,100.0,,0,0,0.0,0,0,0,64.7,62.8,0,-1,0.0,0,3,1,100.0,3,79.2,1,50.0,0,-1,0,0.0,-1.0,-0.33,0,-2.0,0,100.0,,0,0,0.0,0,1,0,64.7,65.4,0,12,0.0,0,7,1,100.0,7,116.7,1,50.0,0,12,14,14.0,12.0,1.71
Drew Sample,47259,TE,CIN,2,2,0,7,,0,,,0,0,,0,0,0,,56.8,0,0,66.7,4,6,0,33.3,2,0.0,0,0.0,0,0,0,,,0.0,0,-1.0,0,100.0,,0,0,0.0,0,0,0,68.3,57.8,0,2,36.4,4,11,2,63.6,7,79.2,2,100.0,0,-2,0,0.0,-1.0,-0.29
Larry Rountree III,57308,HB,LAC,3,2,0,27,-8.0,0,100.0,,0,0,0.0,0,1,0,64.7,79.6,0,13,0.0,0,2,1,100.0,2,118.8,1,50.0,0,13,21,21.0,13.0,6.5,0,,0,,,0,0,,0,0,0,,57.6,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0
